ProductBrand,ProductName,ProductPrice,ProductRate
Tecno,Tecno Camon 19 Neo 6/128GB Akıllı Telefon Buz Mavisi,6799,4.0
Tecno,Tecno Spark 8C 4/64GB KG5q Akıllı Telefon Siyah,4299,0.0
Tecno,Tecno Pova Neo 64 GB LE6 Akıllı Telefon Parlak Mavi,4499,0.0
Tecno,Tecno Pova Neo 64 GB LE6 Akıllı Telefon Obsidyen Siyah,4499,0.0
Tecno,Tecno Spark 9 Pro 4GB /128GB Akıllı Telefon Beyaz,5799,4.0
Tecno,Tecno Camon18P 128 Gb Akıllı Telefon Dusk Grey,7499,5.0
Tecno,Tecno Pova 4 Pro 8GB/256GB Akıllı Telefon Magma Turuncu,9999,0.0
Tecno,Tecno Pova 4 Pro 8GB/256GB Akıllı Telefon Mavi,9999,0.0
Tecno,Tecno Pova 4 Pro 8GB/256GB Akıllı Telefon Gri,9999,0.0
Tecno,Tecno Pova Neo 2 6GB/128GB Akıllı Telefon Magma Turuncu,6299,0.0
Tecno,Tecno Pova Neo 2 6GB/128GB Akıllı Telefon Mavi,6299,0.0
Tecno,Tecno Pova Neo 2 6GB/128GB Akıllı Telefon Gri,6299,0.0
Tecno,Tecno Spark 8C 4/128GB KG5q Akıllı Telefon Elmas Grisi,4999,0.0
Tecno,Tecno Camon 19 Pro 8/128GB Akıllı Telefon Mondrian,8999,0.0
Tecno,Tecno Camon18 128 Gb Akıllı Telefon Dusk Grey,5499,4.0
Tecno,Tecno Camon18P 128 Gb Akıllı Telefon Ceramic White,7499,5.0
Vivo,Vivo Y35 8/256 Gb Akıllı Telefon Yıldızlı Mavi,8499,5.0
Vivo,Vivo Y35 8/256 Gb Akıllı Telefon Gün Doğumu,8499,0.0
Vivo,Vivo Y16 4/64 Gb Akıllı Telefon Yıldızlı Gece Siyahı,4999,5.0
Vivo,Vivo Y22s 6/128 Gb Akıllı Telefon Yaz Esintisi,7499,4.0
Vivo,Vivo Y16 4/64 Gb Akıllı Telefon Işıltılı Altın,4999,5.0
Vivo,Vivo Y21 64 Gb Akıllı Telefon Metalik Mavi,4559,4.0
Vivo,Vivo V25 8/256 Gb 5G Akıllı Telefon Gün Doğumu Işıltısı,13999,5.0
Vivo,Vivo Y22s 6/128 Gb Akıllı Telefon Yıldızlı Mavi,7499,4.0
Vivo,Vivo V25 8/256 Gb 5G Akıllı Telefon Elmas Siyahı,13999,5.0
Vivo,Vivo V21e 128 Gb Akıllı Telefon Roma Siyahı,9499,4.0
Vivo,Vivo Y16 3/32 Gb Akıllı Telefon Yıldızlı Gece Siyahı,4699,0.0
Vivo,Vivo Y16 3/32 Gb Akıllı Telefon Işıltılı Altın,4699,0.0
Vivo,Vivo Y15s 32 Gb Akıllı Telefon Dalga Yeşili,3699,5.0
Vivo,Vivo Y21 64 Gb Akıllı Telefon İnci Beyazı,4559,4.0
Vivo,Vivo V21e 128 Gb Akıllı Telefon Elmas Yansıması (Mavi),9499,4.0
Xiaomi,Xiaomi Redmi 10 64 Gb Akıllı Telefon Gri,4999,4.0
Xiaomi,Xiaomi Redmi Note 11 Pro 8GB/128GB Akıllı Telefon Gri,8999,4.0
Xiaomi,Xiaomi Redmi 10 128 Gb Akıllı Telefon Mavi,5999,4.0
Xiaomi,Xiaomi Redmi 10c 128 Gb Akıllı Telefon Gri,5499,5.0
Xiaomi,Xiaomi Redmi 10 128 Gb Akıllı Telefon Gri,5999,4.0
Xiaomi,Xiaomi Redmi Note 11 Pro 8GB/128GB Akıllı Telefon Beyaz,8999,4.0
Xiaomi,Xiaomi Redmi 10 64 Gb Akıllı Telefon Mavi,4999,4.0
Xiaomi,Xiaomi Redmi Note 11 Pro 8GB/128GB Akıllı Telefon Mavi,8999,4.0
Xiaomi,Xiaomi Redmi Note 11 6GB/128GB Akıllı Telefon Gri,7199,4.0
Xiaomi,Xiaomi Redmi 10c 128 Gb Akıllı Telefon Mavi,5499,5.0
Xiaomi,Xiaomi Redmi 10c 128 Gb Akıllı Telefon Yeşil,5499,5.0
Xiaomi,Xiaomi Redmi Note 11 Pro 6GB/128GB Akıllı Telefon Mavi,8999,5.0
Xiaomi,Xiaomi Redmi Note 11 4GB/64 GB Akıllı Telefon Gri,6499,4.0
Xiaomi,Xiaomi Redmi 10c 64 Gb Akıllı Telefon Gri,4999,5.0
Xiaomi,Xiaomi Redmi 10c 64 Gb Akıllı Telefon Mavi,4999,0.0
Xiaomi,Xiaomi Redmi Note 11 6GB/128GB Akıllı Telefon Gece Mavisi,7399,4.0
Xiaomi,Xiaomi Redmi 10c 64 Gb Akıllı Telefon Yeşil,4999,0.0
Xiaomi,Xiaomi 12T 8GB/256GB Mavi Akıllı Telefon,19999,0.0
Xiaomi,Xiaomi Redmi Note 11 4GB/64 GB Akıllı Telefon Yıldız Mavisi,6499,4.0
Xiaomi,Xiaomi Redmi Note 11 Pro 6GB/128GB Akıllı Telefon Gri,8999,5.0
Xiaomi,Xiaomi Redmi Note 11 Pro 6GB/128GB Akıllı Telefon Beyaz,8999,5.0
Xiaomi,Xiaomi 12T 8GB/256GB Siyah Akıllı Telefon,17599,5.0
Xiaomi,Xiaomi 12 Lite 8GB/256GB Siyah Akıllı Telefon,15299,0.0
Xiaomi,Xiaomi Poco C40 4GB/64GB Akıllı Telefon Güç Siyahı,5299,0.0
Xiaomi,Xiaomi Poco C40 4GB/64GB Akıllı Telefon Mercan Yeşili,5299,5.0
Xiaomi,Xiaomi Redmi Note 11 6GB/128GB Akıllı Telefon Yıldız Mavisi,7199,0.0
Xiaomi,Xiaomi Redmi Note 11 4GB/64 GB Akıllı Telefon Gece Mavisi,6499,0.0
Xiaomi,Xiaomi Redmi 10 128 Gb Akıllı Telefon Beyaz,5999,4.0
